longitude,latitude,score,provincia
8.8277426959,45.575408572,0.0,Milano
8.827756454,45.5709080824,0.0,Milano
8.8277702087,45.566407589299985,0.0,Milano
8.8277839603,45.561907092600016,0.0,Milano
8.8277977085,45.557406592300005,0.0,Milano
8.8278114535,45.55290608849999,0.0,Milano
8.8278251953,45.5484055811,0.0,Milano
8.8278389338,45.54390507010001,0.0,Milano
8.8278526691,45.53940455559999,0.0,Milano
8.8278664011,45.534904037499984,0.0,Milano
8.8278801299,45.5304035158,0.0,Milano
8.8278938554,45.525902990599995,0.0,Milano
8.8279075776,45.521402461799994,0.0,Milano
8.8279212967,45.5169019295,0.0,Milano
8.8279350124,45.5124013935,0.0,Milano
8.827948725,45.5079008541,0.0,Milano
8.8279624342,45.503400311,0.0,Milano
8.8279761403,45.4988997644,0.0,Milano
8.8279898431,45.494399214199994,0.0,Milano
8.828003542700001,45.48989866050001,0.0,Milano
8.828017239,45.4853981032,0.0,Milano
8.8280309321,45.4808975423,0.0,Milano
8.8280446219,45.47639697789999,0.0,Milano
8.8280583085,45.4718964099,0.0,Milano
8.8280719919,45.4673958383,0.0,Milano
8.828085672,45.4628952632,0.0,Milano
8.8280993489,45.458394684500014,0.0,Milano
8.8281130226,45.45389410220001,0.0,Milano
8.828126693,45.4493935164,0.0,Milano
8.8281403603,45.444892927,0.0,Milano
8.8281540242,45.44039233409999,0.0,Milano
8.828167685,45.43589173749999,0.0,Milano
8.8281813425,45.43139113749999,0.0,Milano
8.8281949968,45.4268905338,0.0,Milano
8.8282086479,45.422389926600005,0.0,Milano
8.8282222957,45.4178893158,0.0,Milano
8.8341378317,45.57991854290001,0.0,Milano
8.8341510811,45.5754180554,0.0,Milano
8.8341643273,45.5709175644,0.0,Milano
8.8341775704,45.5664170698,0.0,Milano
8.8341908103,45.561916571599994,0.0,Milano
8.8342040471,45.5574160698,0.0,Milano
8.8342172808,45.5529155645,0.0,Milano
8.8342305113,45.5484150556,0.0,Milano
8.8342437387,45.5439145432,0.0,Milano
8.834256963,45.53941402720002,0.0,Milano
8.8342701842,45.534913507599995,0.0,Milano
8.8342834022,45.53041298449999,0.0,Milano
8.8342966171,45.5259124578,0.0,Milano
8.8343098289,45.521411927500004,0.0,Milano
8.8343230375,45.51691139369999,0.0,Milano
8.834336243,45.5124108563,0.0,Milano
8.8343494454,45.507910315299995,0.0,Milano
8.8343626447,45.50340977079998,0.0,Milano
8.8343758409,45.49890922269999,0.0,Milano
8.8343890339,45.494408671,0.0,Milano
8.8344022238,45.4899081158,0.0,Milano
8.8344154106,45.485407557,0.0,Milano
8.8344285943,45.48090699469999,0.0,Milano
8.8344417748,45.4764064288,0.0,Milano
8.834454952300002,45.471905859299994,0.0,Milano
8.8344681266,45.4674052863,0.0,Milano
8.8344812978,45.462904709700005,0.0,Milano
8.8344944659,45.4584041295,0.0,Milano
